Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 Egzaminas
Vardas1 Pavarde1 6 1 4 6 2 9 7 8 10 10
Vardas2 Pavarde2 5 10 8 4 4 3 8 9 7 3
Vardas3 Pavarde3 4 6 9 3 2 4 8 5 3 7
Vardas4 Pavarde4 3 10 7 3 7 7 8 4 8 1
Vardas5 Pavarde5 5 9 4 4 6 10 1 4 6 7
Vardas6 Pavarde6 7 10 1 1 5 2 8 1 3 5
Vardas7 Pavarde7 2 7 7 10 4 7 4 9 3 9
Vardas8 Pavarde8 4 6 10 9 9 8 9 9 9 4
Vardas9 Pavarde9 6 3 7 1 4 7 7 5 4 1
Vardas10 Pavarde10 7 8 1 4 1 7 9 6 1 5
Vardas11 Pavarde11 5 2 3 4 1 9 8 1 1 1
Vardas12 Pavarde12 5 9 4 10 8 2 3 9 5 5
Vardas13 Pavarde13 3 10 3 9 2 8 8 5 9 9
Vardas14 Pavarde14 3 5 4 4 6 4 1 6 7 9
Vardas15 Pavarde15 6 6 10 10 6 1 8 3 9 5
Vardas16 Pavarde16 1 8 8 7 5 4 5 10 3 9
Vardas17 Pavarde17 4 1 4 2 4 1 7 8 6 3
Vardas18 Pavarde18 2 4 4 8 1 9 4 4 4 5
Vardas19 Pavarde19 4 5 2 5 6 5 2 2 9 4
Vardas20 Pavarde20 3 9 6 4 3 8 9 10 4 8
Vardas21 Pavarde21 9 10 3 2 8 8 9 6 7 3
Vardas22 Pavarde22 5 5 1 9 10 9 10 6 2 6
Vardas23 Pavarde23 10 1 5 3 5 2 9 4 9 3
Vardas24 Pavarde24 3 4 10 10 7 7 1 4 4 3
Vardas25 Pavarde25 5 9 8 7 4 8 3 7 7 8
Vardas26 Pavarde26 10 3 5 2 2 5 4 9 1 8
Vardas27 Pavarde27 3 1 1 6 10 2 10 5 3 1
Vardas28 Pavarde28 10 5 1 10 10 3 6 1 1 4
Vardas29 Pavarde29 2 5 7 1 3 9 8 1 1 9
Vardas30 Pavarde30 8 6 5 6 4 1 6 6 5 1
Vardas31 Pavarde31 9 2 7 10 6 1 10 1 9 4
